,Name,A ending?,"VowelEnding? (a, e, i, o, u,y)","Fricative ending? (f,v,th,s,z,sh,ch,dge)","Sonorant ending? (m,n,ng,l,r)","Plosive ending? (p,b,t,d,k,g)","1st letter vowel? (a, e, i, o, u)","1st letter fricative? (f,v,th,s,z,sh,ch,j)","1st letter sonorant? (m,n,l,r,w,y)","1st letter plosive? (p,b,t,d,k,g)",# of letters,Front Vowels,Back Vowels,"Total # of vowels (a, e, i, o, u)","# of fricatives (f,v,th,s,z,sh,ch,j)","Total # of sonorants (m,n,l,r,w,y)","Total # of plosives  (p,b,t,d,k,g)",Gender,Category
0,advil,0,0,0,1,0,1,0,0,0,5,1,0,2,1,1,1,0,ANALGESICS
1,aleve,0,1,0,0,0,1,0,0,0,5,2,0,3,1,1,0,1,ANALGESICS
2,alliviax,0,0,0,0,0,1,0,0,0,8,2,0,4,1,2,0,1,ANALGESICS
3,analgen,0,0,0,1,0,1,0,0,0,7,1,0,3,0,3,1,0,ANALGESICS
4,arnicare,0,1,0,0,0,1,0,0,0,8,2,0,4,0,3,0,1,ANALGESICS
5,asteeza,1,1,0,0,0,1,0,0,0,7,1,0,4,2,0,1,1,ANALGESICS
6,ausanil,0,0,0,1,0,1,0,0,0,7,1,1,4,1,2,0,0,ANALGESICS
7,azo,0,1,0,0,0,1,0,0,0,3,0,1,2,1,0,0,1,ANALGESICS
8,bc,0,0,0,0,0,0,0,0,1,2,0,0,0,0,0,1,0,ANALGESICS
9,biofreeze,0,1,0,0,0,0,0,0,1,9,3,1,5,2,1,1,1,ANALGESICS
10,bufferin,0,0,0,1,0,0,0,0,1,8,2,1,3,2,2,1,0,ANALGESICS
11,buscapina,1,1,0,0,0,0,0,0,1,9,1,1,4,1,1,2,1,ANALGESICS
12,calmadol,0,0,0,1,0,0,0,0,0,8,0,1,3,0,3,1,0,ANALGESICS
13,diurex,0,0,0,0,0,0,0,0,1,6,2,1,3,0,1,1,1,ANALGESICS
14,equate,0,1,0,0,0,1,0,0,0,6,2,1,4,0,0,1,1,ANALGESICS
15,excedrin,0,0,0,1,0,1,0,0,0,8,3,0,3,0,2,1,0,ANALGESICS
16,fibromyalgia,1,1,0,0,0,0,1,0,0,12,2,1,5,1,4,2,1,ANALGESICS
17,flanax,0,0,0,0,0,0,1,0,0,6,0,0,2,1,2,0,1,ANALGESICS
18,glycomarine,0,1,0,0,0,0,0,0,1,11,2,1,4,0,5,1,1,ANALGESICS
19,goodys,0,0,1,0,0,0,0,0,1,6,0,1,2,1,1,2,0,ANALGESICS
20,hangover,0,0,0,1,0,0,0,0,0,8,1,1,3,1,2,1,0,ANALGESICS
21,kyutec,0,0,0,0,0,0,0,0,1,6,1,1,2,0,1,2,0,ANALGESICS
22,livia,1,1,0,0,0,0,0,1,0,5,2,0,3,1,1,0,1,ANALGESICS
23,migrastil,0,0,0,1,0,0,0,1,0,9,2,0,3,1,3,2,0,ANALGESICS
24,migrelief,0,0,1,0,0,0,0,1,0,9,3,0,4,1,3,1,1,ANALGESICS
25,motrin,0,0,0,1,0,0,0,1,0,6,1,1,2,0,3,1,0,ANALGESICS
26,naproxen,0,0,0,1,0,0,0,1,0,8,1,1,3,0,3,1,0,ANALGESICS
27,noxicare,0,1,0,0,0,0,0,1,0,8,2,1,4,0,2,0,1,ANALGESICS
28,pamprin,0,0,0,1,0,0,0,0,1,7,1,0,2,0,3,2,0,ANALGESICS
29,pediacare,0,1,0,0,0,0,0,0,1,9,3,0,5,0,1,2,1,ANALGESICS
30,persen,0,0,0,1,0,0,0,0,1,6,2,0,2,1,2,1,0,ANALGESICS
31,salonpas,0,0,1,0,0,0,1,0,0,8,0,1,3,2,2,1,0,ANALGESICS
32,stopain,0,0,0,1,0,0,1,0,0,7,1,1,3,1,1,2,0,ANALGESICS
33,synodrin,0,0,0,1,0,0,1,0,0,8,1,1,2,1,4,1,0,ANALGESICS
34,tylenol,0,0,0,1,0,0,0,0,1,7,1,1,2,0,4,1,0,ANALGESICS
35,vanquish,0,0,1,0,0,0,1,0,0,8,1,1,3,2,1,0,0,ANALGESICS
36,venaton,0,0,0,1,0,0,1,0,0,7,1,1,3,1,2,1,0,ANALGESICS
37,alfamino,0,1,0,0,0,1,0,0,0,8,1,1,4,1,3,0,1,BABY_FOODS
38,enfagrow,0,0,0,0,0,1,0,0,0,8,1,1,3,1,3,1,0,BABY_FOODS
39,enfamil,0,0,0,1,0,1,0,0,0,7,2,0,3,1,3,0,1,BABY_FOODS
40,gerber,0,0,0,1,0,0,0,0,1,6,2,0,2,0,2,2,0,BABY_FOODS
41,kabrita,1,1,0,0,0,0,0,0,1,7,1,0,3,0,1,3,1,BABY_FOODS
42,neocate,0,1,0,0,0,0,0,1,0,7,2,1,4,0,1,1,1,BABY_FOODS
43,nurturme,0,1,0,0,0,0,0,1,0,8,1,2,3,0,4,1,0,BABY_FOODS
44,similac,0,0,0,0,0,0,1,0,0,7,2,0,3,1,2,0,1,BABY_FOODS
45,sprout,0,0,0,0,1,0,1,0,0,6,0,1,2,1,1,2,0,BABY_FOODS
46,adidas,0,0,1,0,0,1,0,0,0,6,1,0,3,1,0,2,0,BASEBALL_EQUIPMENT
47,axe,0,1,0,0,0,1,0,0,0,3,1,0,2,0,0,0,1,BASEBALL_EQUIPMENT
48,demarini,0,1,0,0,0,0,0,0,1,8,3,0,4,0,3,1,1,BASEBALL_EQUIPMENT
49,easton,0,0,0,1,0,1,0,0,0,6,1,1,3,1,1,1,0,BASEBALL_EQUIPMENT
50,franklin,0,0,0,1,0,0,1,0,0,8,1,0,2,1,4,1,0,BASEBALL_EQUIPMENT
51,gloveworks,0,0,1,0,0,0,0,0,1,10,1,2,3,2,3,2,0,BASEBALL_EQUIPMENT
52,maxbp,0,0,0,0,1,0,0,1,0,5,0,0,1,0,1,2,0,BASEBALL_EQUIPMENT
53,miken,0,0,0,1,0,0,0,1,0,5,2,0,2,0,2,1,0,BASEBALL_EQUIPMENT
54,prorollers,0,0,1,0,0,0,0,0,1,10,1,2,3,1,5,1,0,BASEBALL_EQUIPMENT
55,rawlings,0,0,1,0,0,0,0,1,0,8,1,0,2,1,4,1,0,BASEBALL_EQUIPMENT
56,ssk,0,0,0,0,1,0,1,0,0,3,0,0,0,2,0,1,0,BASEBALL_EQUIPMENT
57,wilson,0,0,0,1,0,0,0,1,0,6,1,1,2,1,3,0,0,BASEBALL_EQUIPMENT
58,acura,1,1,0,0,0,1,0,0,0,5,0,1,3,0,1,0,1,CARS_TRUCKS
59,audi,0,1,0,0,0,1,0,0,0,4,1,1,3,0,0,1,0,CARS_TRUCKS
60,bentley,0,1,0,0,0,0,0,0,1,7,3,0,2,0,3,2,1,CARS_TRUCKS
61,bmw,0,0,0,0,0,0,0,0,1,3,0,0,0,0,2,1,0,CARS_TRUCKS
62,buick,0,0,0,0,1,0,0,0,1,5,1,1,2,0,0,2,0,CARS_TRUCKS
63,cadillac,0,0,0,0,0,0,0,0,0,8,1,0,3,0,2,1,1,CARS_TRUCKS
64,chevrolet,0,0,0,0,1,0,1,0,0,9,2,1,3,2,2,1,0,CARS_TRUCKS
65,chrysler,0,0,0,1,0,0,1,0,0,8,1,0,1,2,4,0,1,CARS_TRUCKS
66,citroen,0,0,0,1,0,0,0,0,0,7,2,1,3,0,2,1,0,CARS_TRUCKS
67,dacia,1,1,0,0,0,0,0,0,1,5,1,0,3,0,0,1,1,CARS_TRUCKS
68,datsun,0,0,0,1,0,0,0,0,1,6,0,1,2,1,1,2,0,CARS_TRUCKS
69,dodge,0,1,1,0,0,0,0,0,1,5,1,1,2,0,0,3,0,CARS_TRUCKS
70,ferrari,0,1,0,0,0,0,1,0,0,7,2,0,3,1,3,0,1,CARS_TRUCKS
71,fiat,0,0,0,0,1,0,1,0,0,4,1,0,2,1,0,1,0,CARS_TRUCKS
72,ford,0,0,0,0,1,0,1,0,0,4,0,1,1,1,1,1,0,CARS_TRUCKS
73,genesis,0,0,1,0,0,0,0,0,1,7,3,0,3,2,1,1,0,CARS_TRUCKS
